Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
VAN1 2003.9233         4.572        -1.314        -3.154   1.400   1.198   5.073
VAN1 2004.9856         1.524        -3.060       -13.071   1.215   1.039   4.418
VAN1 2008.2702         6.995         2.293       122.887  24.610  19.349  89.083
VANU 2007.4196         2.526         3.696        -4.045   0.978   1.087   4.262
VANU 2009.4346        -5.682       -22.754        -0.922   0.897   1.005   3.928
VANU 2010.6064       -38.124       -52.251        19.888   1.784   1.914   7.732
VANU 2010.7981       -10.403        -8.575         6.718   2.096   2.257   9.053
VANU 2011.1348        -3.116        -7.758         4.658   1.709   1.883   7.350
VANU 2011.5619       -14.210       -16.442         2.703   2.841   3.094  12.156
VANU 2011.6525       -33.416       -46.455         5.681   3.238   3.514  13.821
VANU 2011.8029        -7.368       -16.036         8.887   2.296   2.530   9.821
VANU 2012.4327        -7.089        -3.486        10.965   1.854   2.091   7.996
VANU 2012.7940        -5.593        -7.925         5.500   1.634   1.826   7.007
VARS 2003.9890        -1.789         0.584         1.727   0.799   0.583   2.971
VARS 2010.5902        -3.365         5.614         1.566   0.992   0.739   3.681
VBCA 2002.2642        -1.083         7.423        -1.767   1.525   1.363   5.095
VBCA 2003.9398        -1.937         6.837         2.847   1.492   1.268   5.064
VBCA 2005.8535        -3.448         5.377         6.805   1.236   1.027   4.297
VBCA 2011.0009         4.853       -36.488         7.897   1.924   1.631   6.805
VBCA 2011.7153        -0.701        -5.343        -5.177   1.524   1.322   5.529
VBCA 2013.7139        -0.680        -6.827        -6.019   1.763   1.501   6.159
VCAP 2001.4511        -0.778         0.590         5.132   0.795   0.612   2.578
VCAP 2007.3210        -1.527        -4.315        -2.284   0.759   0.595   2.416
VCIO 2001.7029        -4.324         5.769         2.572   1.670   1.471   5.945
VCIO 2002.8636         9.982        -3.055         2.824   3.314   3.057  11.116
VCIO 2003.4771        -4.465         2.937        -2.714   3.209   2.976  10.695
VCIO 2004.4764         3.987        -4.904        -3.607   1.746   1.556   6.106
VCIO 2005.5524        -7.336         5.348        -2.133   1.418   1.246   4.998
VCIO 2008.9856         1.805        -6.981        -1.023   0.953   0.830   3.450
VCIO 2011.6687         4.226         3.935         5.378   1.277   1.104   4.494
VCIO 2012.2628        -3.317        -4.911        -0.142   2.035   1.769   7.137
VCIO 2012.5065         6.360        -1.926       -17.576   2.377   2.063   8.381
VCST 2004.8214        -0.135        -1.660       -10.905   1.854   1.572   6.402
VCST 2005.3114         0.999        -5.356         5.888   1.764   1.491   6.070
VCST 2009.4675        -1.233         0.159        -7.797   1.246   1.042   4.372
VDCY 2002.7543         1.890         2.231        10.855   1.049   0.968   4.798
VDCY 2004.3669        -0.340        -3.365        -4.774   1.402   1.290   6.382
VDCY 2004.9582         0.263        -2.293        -3.579   1.355   1.247   6.163
VDCY 2010.1711        -0.824        -3.468        -0.086   0.979   0.917   4.472
VDCY 2012.0465        -0.358        -0.545         6.833   0.934   0.870   4.232
VDCY 2014.2779        -0.767        -0.739         5.362   0.948   0.879   4.285
VDCY 2018.9870         0.832         0.249        -6.327   1.398   1.321   6.364
VDCY 2019.4716         6.440         2.275        -5.070   1.636   1.547   7.453
VENE 1997.7497        -6.187         2.353        26.316   2.155   1.594   8.216
VENE 1999.6496        -0.923         0.948       -29.318   1.967   1.472   7.886
VENE 2001.0869         4.222         2.623        86.742   1.913   1.418   7.403
VENE 2002.0397        -2.983         1.073        13.979   1.282   0.941   3.791
VESL 2001.9658        -1.546        -1.591        -6.672   1.128   0.831   4.429
VESL 2004.3806         1.463        -0.657         7.171   1.249   0.937   4.931
VESL 2005.4949        -0.901         0.105         8.296   1.266   0.945   4.988
VFDG 2010.6557         0.625         0.524         8.331   1.255   0.906   4.543
VFDG 2011.6496        -0.360         0.944         5.789   1.343   0.972   4.836
VFDG 2012.5257         0.170        -0.829        11.547   1.306   0.945   4.734
VFDG 2018.1656        -0.722         0.645        -5.784   1.219   0.872   4.495
VFDG 2019.6468         0.821         0.970        12.135   1.439   1.041   5.243
VGFW 2005.0021        -4.686         9.650        -2.883   1.648   1.344   5.417
VGFW 2010.7844        -7.067         5.857         1.945   0.971   0.809   3.352
VGFW 2015.4196        -4.333         5.493        -5.409   0.903   0.753   3.129
VGFW 2016.8706        11.503         4.952        -6.337   1.052   0.869   3.660
VGOB 2005.0021        -3.483         9.422        -0.806   1.543   1.303   5.239
VGOB 2010.7762        -5.693         4.097        -3.322   1.105   0.928   3.948
VGOB 2015.4223        -4.080         4.312         0.585   0.920   0.791   3.320
VGOB 2016.8843        11.181         5.084        -9.249   1.072   0.909   3.855
VGWN 2005.0048        -4.111        10.571         3.365   1.637   1.310   5.237
VGWN 2010.8008        -7.775         6.887        -6.965   1.012   0.812   3.351
VGWN 2015.3840        -2.150         6.714        -5.941   0.936   0.754   3.125
VGWN 2016.8706        11.074         3.494        -2.209   1.404   1.122   4.720
VGWN 2018.7216         3.868         0.362       -18.038   1.551   1.233   5.224
VIC1 1999.4552        -3.110         5.161         3.263   1.159   1.062   4.511
VIC1 2002.9132         4.990         2.219         3.588   1.324   1.248   5.132
VIL0 2007.4066         1.727         2.915         0.131   0.703   0.505   2.216
VILL 1995.6824        -0.939         0.508        -6.914   1.524   1.219   5.274
VILL 1999.7243         0.917         5.439        -4.865   1.579   1.190   5.513
VILL 2000.4736        -0.725        -3.130        -3.328   1.555   1.182   5.391
VILL 2002.6694         0.564         1.579        -4.842   1.010   0.805   3.335
VILL 2004.6994         3.131        -1.950        -0.918   1.247   0.991   4.198
VILL 2005.7110         0.992         4.012        -4.265   1.295   1.018   4.411
VILL 2010.5161        -1.906        -0.098        -4.713   0.994   0.789   3.331
VILL 2013.0241        -2.750        -0.481         0.192   1.082   0.848   3.544
VILL 2014.0397        -0.299        -0.860         2.901   1.064   0.839   3.483
VILL 2017.1718         0.132        -0.062         5.075   0.919   0.731   3.087
VIMT 2002.7515         2.112         2.369         4.308   0.927   0.788   3.159
VIMT 2004.3751        -0.921        -3.431        -4.825   1.348   1.144   4.534
VIMT 2004.8049         2.027         0.229        -4.526   1.345   1.138   4.517
VIMT 2010.1684        -0.302        -3.483        -3.237   0.928   0.773   3.125
VIMT 2012.3504        -1.154         0.165         2.028   0.820   0.675   2.740
VIMT 2014.4613        -0.638        -1.618         0.962   0.954   0.786   3.181
VIMT 2015.4278        -3.078        -3.655         7.787   1.327   1.108   4.437
VIMT 2015.8905         2.417         2.866        -6.960   1.305   1.102   4.365
VIMT 2016.9144         1.185        -0.039        -3.176   0.911   0.779   3.034
VIMT 2019.0719         4.295         1.630        -2.625   0.905   0.772   3.023
VINZ 2016.3616        -1.445         4.239       -77.390   2.511   2.096   8.351
VINZ 2019.5127         2.869        -3.977        -5.183   1.652   1.380   5.548
VIS0 2008.2628        -0.605        -0.134         3.336   0.726   0.519   2.084
VLNS 2013.9959         2.252         0.816        -5.015   0.917   0.643   2.583
VNAD 2013.8836         1.762         2.951        -2.270   1.205   0.851   3.862
VNCO 2002.7488         2.166         3.267         3.960   1.145   0.961   4.092
VNCO 2004.3888        -0.653        -2.835        -8.473   1.402   1.184   4.986
VNCO 2004.9500         3.029        -2.154         0.269   1.476   1.238   5.218
VNCO 2005.9822         0.200        -2.521         5.325   1.202   0.995   4.241
VNCO 2008.4271        -2.461        -5.174       -12.029   1.359   1.116   4.844
VNCO 2008.9446         1.560        -2.475         2.294   1.379   1.131   4.923
VNCO 2010.9185         4.025        -1.357         1.136   1.154   0.957   4.129
VNCO 2011.8768         0.770         0.217         6.840   1.154   0.957   4.135
VNCO 2013.6181         3.544        -1.430        44.089   5.431   4.563  20.086
VNCO 2013.6454        -3.914         1.790       -44.325   8.393   7.050  30.594
VNCO 2013.6619        -2.487         1.229         0.197   6.509   5.464  23.466
VNCO 2014.7488        -1.562         0.526        -3.443   1.155   0.956   4.170
VNCO 2017.0020         0.581         0.729        -3.065   1.109   0.938   3.927
VNCO 2019.0198         3.458         0.467        -3.528   1.131   0.954   4.013
VNCX 1999.4004        -2.004        -5.018        -5.301   1.466   1.290   5.110
VNCX 2002.7515         1.564         4.227         7.623   0.842   0.725   2.946
VNCX 2004.3806        -0.769        -2.872        -3.448   1.387   1.193   4.830
VNCX 2004.8159         0.768         0.446        -7.729   1.300   1.118   4.522
VNCX 2018.9788         3.327         1.362        -6.040   0.904   0.780   3.072
VNDP 1992.9938        -9.500         3.264       -11.296   5.320   4.696  23.472
VNDP 1996.2764        -1.946         1.522        -6.491   0.841   0.725   3.069
VNDP 2002.7515         1.632         2.708         6.056   0.809   0.683   2.847
VNDP 2004.9500         1.670        -3.505        -6.401   0.844   0.710   2.953
VNDP 2012.0905         3.169        -2.148        -9.713   0.807   0.684   3.009
VNDP 2015.9233         2.949         4.685        -1.851   0.715   0.601   2.434
VNDP 2018.0260         2.699         2.824        -1.913   0.742   0.631   2.488
VNPS 2002.7296         2.175         3.064         7.482   0.858   0.766   3.202
VNPS 2004.3751        -0.447        -2.539        -5.637   1.302   1.169   4.864
VNPS 2004.9528        -0.063        -1.232        -5.658   1.250   1.117   4.658
VNPS 2013.8481         5.466         3.498        -3.210   0.794   0.671   2.825
VNPS 2017.0075         1.699        -0.394        -3.593   0.763   0.669   2.692
VNPS 2019.5072        11.344         0.898         0.536   1.158   1.018   4.096
VOLT 2009.7467        -0.279        -0.841         5.170   1.219   0.948   4.102
VTIS 1999.7755         2.884        -1.354        -2.486   1.228   1.056   4.228
VTIS 2001.7796         1.299         1.710         2.313   1.013   0.866   3.527
VTIS 2002.7543         1.985         3.223         5.591   1.037   0.883   3.597
VTIS 2004.4572        -0.064        -2.893        -8.487   0.818   0.691   2.807
VTIS 2010.1793        -0.152        -3.135        -1.596   0.780   0.649   2.659
VTIS 2012.0999         2.553         0.101        16.219   0.805   0.664   2.748
VTIS 2019.5072         4.386         0.917        -0.761   1.093   0.936   3.759
VTOR 2019.1266         3.162         0.923        -2.775   0.939   0.809   3.142
VYAS 1999.7399         6.093         0.418        -4.395   1.275   1.084   5.175
VYAS 2002.7515         1.614         5.246         8.495   1.297   1.107   5.334
VYAS 2004.3751        -2.663        -3.713        -7.795   1.237   1.049   5.034
VYAS 2005.3415        -6.388        -7.764        -1.528   1.479   1.219   5.977
VYAS 2005.9822         0.702        -9.749         3.111   1.416   1.162   5.774
VYAS 2007.4990         2.570         4.032         0.644   1.243   1.044   5.167
VYAS 2010.2751        -4.131        -4.018        -0.687   1.412   1.197   5.870
WAB2 2016.3614        -1.977        -2.295        -1.272   1.061   0.792   3.277
WAB2 2017.7770        14.055       -13.617       146.923   1.275   0.946   3.855
WAB2 2018.5619        -1.231        -0.006      -142.251   1.158   0.861   3.451
WACO 2011.3814        -6.713        -4.116       -39.214   2.913   2.093   8.927
WAIM 2006.4257         1.468         2.544         1.242   0.919   0.690   2.643
WAIM 2009.6181        -2.227       -11.682         1.934   0.974   0.745   2.845
WAIM 2010.6776        -5.672        -5.563         0.079   1.030   0.786   3.018
WAIM 2016.8679        -6.171        -0.564        -1.514   1.372   1.042   3.974
WAIM 2017.4921        -3.756         1.362         0.989   1.515   1.148   4.390
WAKA 2002.4124        -0.239         2.744      -121.138   1.602   1.274   5.430
WAKA 2005.2101         6.981         5.496        -2.014   1.209   0.951   3.970
WAKA 2009.8919        -2.542        -5.698         3.405   0.986   0.765   3.240
WAKA 2016.1670         1.070        -6.175        61.930   1.187   0.912   3.839
WAKA 2016.8706        -1.602        10.281        -0.614   1.199   0.916   3.846
WAKA 2018.6639        -1.496         7.700        43.706   0.982   0.748   3.159
WANG 2004.1670        -1.135         5.979        -3.674   3.117   2.883   8.339
WANG 2005.0267        -1.502        11.281        -0.421   2.452   1.967   7.504
WANG 2005.2156        -4.140         5.773        -6.648   2.188   1.744   6.817
WANG 2005.9192        -2.898         1.498         3.791   1.226   0.991   3.884
